review_id,unit_id,reference_id,review_type,evidence,resolution,next_checkpoint
review:bibit:record:bibit000935:bibit:sonnet:bibit000099:sonnet_0386,bibit:record:bibit000935,bibit:sonnet:bibit000099:sonnet_0386,sonnet_segment_quarantine,left=0.001280;right=0.809524;matching_shingles=85;preferred=bibit:sonnet:bibit000099:sonnet_0386,remove_exact_matched_span_in_checkpoint_7b,7B
review:bibit:record:bibit000935:bibit:sonnet:bibit000099:sonnet_0483,bibit:record:bibit000935,bibit:sonnet:bibit000099:sonnet_0483,sonnet_segment_quarantine,left=0.001280;right=0.833333;matching_shingles=85;preferred=bibit:sonnet:bibit000099:sonnet_0483,remove_exact_matched_span_in_checkpoint_7b,7B
review:bibit:record:bibit001063:wikisource:sonnet:itws:987480:sonnet0001,bibit:record:bibit001063,wikisource:sonnet:itws:987480:sonnet0001,sonnet_segment_quarantine,left=0.001878;right=0.925000;matching_shingles=74;preferred=wikisource:sonnet:itws:987480:sonnet0001,remove_exact_matched_span_in_checkpoint_7b,7B
review:bibit:record:bibit001063:wikisource:sonnet:itws:988061:sonnet0001,bibit:record:bibit001063,wikisource:sonnet:itws:988061:sonnet0001,sonnet_segment_quarantine,left=0.001573;right=0.885714;matching_shingles=62;preferred=wikisource:sonnet:itws:988061:sonnet0001,remove_exact_matched_span_in_checkpoint_7b,7B
review:bibit:record:bibit001120:bibit:record:bibit000985,bibit:record:bibit001120,bibit:record:bibit000985,embedded_canonical_span,left=0.847231;right=0.310567;matching_shingles=2601;preferred=bibit:record:bibit000985,remove_exact_matched_span_in_checkpoint_7b,7B
review:bibit:record:bibit001190:bibit:record:bibit000369,bibit:record:bibit001190,bibit:record:bibit000369,embedded_canonical_span,left=0.956881;right=0.444681;matching_shingles=2086;preferred=bibit:record:bibit000369,remove_exact_matched_span_in_checkpoint_7b,7B
review:bibit:record:bibit001217:bibit:sonnet:bibit000099:structural_0006,bibit:record:bibit001217,bibit:sonnet:bibit000099:structural_0006,sonnet_segment_quarantine,left=0.022105;right=1.000000;matching_shingles=96;preferred=bibit:sonnet:bibit000099:structural_0006,remove_exact_matched_span_in_checkpoint_7b,7B
review:bibit:record:bibit001217:bibit:sonnet:bibit000099:structural_0007,bibit:record:bibit001217,bibit:sonnet:bibit000099:structural_0007,sonnet_segment_quarantine,left=0.022565;right=1.000000;matching_shingles=98;preferred=bibit:sonnet:bibit000099:structural_0007,remove_exact_matched_span_in_checkpoint_7b,7B
review:bibit:record:bibit001217:bibit:sonnet:bibit000099:structural_0008,bibit:record:bibit001217,bibit:sonnet:bibit000099:structural_0008,sonnet_segment_quarantine,left=0.022565;right=1.000000;matching_shingles=98;preferred=bibit:sonnet:bibit000099:structural_0008,remove_exact_matched_span_in_checkpoint_7b,7B
review:bibit:record:bibit001465:bibit:record:bibit001453,bibit:record:bibit001465,bibit:record:bibit001453,embedded_canonical_span,left=0.973419;right=0.727076;matching_shingles=19482;preferred=bibit:record:bibit001453,remove_exact_matched_span_in_checkpoint_7b,7B
review:bibit:record:bibit001495:bibit:sonnet:bibit001495:sonnet_0001,bibit:record:bibit001495,bibit:sonnet:bibit001495:sonnet_0001,sonnet_segment_quarantine,left=0.002907;right=0.866667;matching_shingles=91;preferred=bibit:sonnet:bibit001495:sonnet_0001,remove_exact_matched_span_in_checkpoint_7b,7B
review:bibit:record:bibit001585:wikisource:sonnet:itws:260006:sonnet0001,bibit:record:bibit001585,wikisource:sonnet:itws:260006:sonnet0001,sonnet_segment_quarantine,left=0.019954;right=0.825397;matching_shingles=52;preferred=wikisource:sonnet:itws:260006:sonnet0001,remove_exact_matched_span_in_checkpoint_7b,7B
review:bibit:record:bibit001643:bibit:record:bibit000051,bibit:record:bibit001643,bibit:record:bibit000051,embedded_canonical_span,left=0.922807;right=0.364455;matching_shingles=2104;preferred=bibit:record:bibit000051,remove_exact_matched_span_in_checkpoint_7b,7B
review:bibit:record:bibit001643:bibit:record:bibit000253,bibit:record:bibit001643,bibit:record:bibit000253,embedded_canonical_span,left=0.872165;right=0.146544;matching_shingles=846;preferred=bibit:record:bibit000253,remove_exact_matched_span_in_checkpoint_7b,7B
review:bibit:record:bibit001643:bibit:record:bibit000646,bibit:record:bibit001643,bibit:record:bibit000646,embedded_canonical_span,left=0.899425;right=0.216872;matching_shingles=1252;preferred=bibit:record:bibit000646,remove_exact_matched_span_in_checkpoint_7b,7B
review:gutenberg:record:pg38698:bibit:sonnet:bibit001111:sonnet_0033,gutenberg:record:pg38698,bibit:sonnet:bibit001111:sonnet_0033,sonnet_segment_quarantine,left=0.001455;right=0.843137;matching_shingles=86;preferred=bibit:sonnet:bibit001111:sonnet_0033,remove_exact_matched_span_in_checkpoint_7b,7B
review:gutenberg:record:pg38698:gutenberg:sonnet:pg27825:char33248-33795,gutenberg:record:pg38698,gutenberg:sonnet:pg27825:char33248-33795,sonnet_segment_quarantine,left=0.001252;right=0.850575;matching_shingles=74;preferred=gutenberg:sonnet:pg27825:char33248-33795,remove_exact_matched_span_in_checkpoint_7b,7B
review:gutenberg:record:pg46717:bibit:sonnet:bibit001063:sonnet_0005,gutenberg:record:pg46717,bibit:sonnet:bibit001063:sonnet_0005,sonnet_segment_quarantine,left=0.001065;right=0.836957;matching_shingles=77;preferred=bibit:sonnet:bibit001063:sonnet_0005,remove_exact_matched_span_in_checkpoint_7b,7B
review:gutenberg:record:pg47276:v6:sonnet:colonna_sonetti_spirituali_sonetto_cxcvi,gutenberg:record:pg47276,v6:sonnet:colonna_sonetti_spirituali_sonetto_cxcvi,sonnet_segment_quarantine,left=0.000467;right=0.920792;matching_shingles=93;preferred=v6:sonnet:colonna_sonetti_spirituali_sonetto_cxcvi,remove_exact_matched_span_in_checkpoint_7b,7B
review:gutenberg:record:pg47276:v6:sonnet:colonna_sonetti_spirituali_sonetto_lxxvi,gutenberg:record:pg47276,v6:sonnet:colonna_sonetti_spirituali_sonetto_lxxvi,sonnet_segment_quarantine,left=0.000436;right=0.887755;matching_shingles=87;preferred=v6:sonnet:colonna_sonetti_spirituali_sonetto_lxxvi,remove_exact_matched_span_in_checkpoint_7b,7B
review:gutenberg:record:pg47276:wikisource:sonnet:itws:826865:sonnet0001,gutenberg:record:pg47276,wikisource:sonnet:itws:826865:sonnet0001,sonnet_segment_quarantine,left=0.000492;right=1.000000;matching_shingles=98;preferred=wikisource:sonnet:itws:826865:sonnet0001,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0033,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0033,sonnet_segment_quarantine,left=0.006380;right=1.000000;matching_shingles=111;preferred=bibit:sonnet:bibit000129:sonnet_0033,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0034,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0034,sonnet_segment_quarantine,left=0.006150;right=1.000000;matching_shingles=107;preferred=bibit:sonnet:bibit000129:sonnet_0034,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0035,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0035,sonnet_segment_quarantine,left=0.005977;right=1.000000;matching_shingles=104;preferred=bibit:sonnet:bibit000129:sonnet_0035,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0036,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0036,sonnet_segment_quarantine,left=0.006207;right=0.990826;matching_shingles=108;preferred=bibit:sonnet:bibit000129:sonnet_0036,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0037,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0037,sonnet_segment_quarantine,left=0.005633;right=0.924528;matching_shingles=98;preferred=bibit:sonnet:bibit000129:sonnet_0037,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0038,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0038,sonnet_segment_quarantine,left=0.006092;right=1.000000;matching_shingles=106;preferred=bibit:sonnet:bibit000129:sonnet_0038,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0039,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0039,sonnet_segment_quarantine,left=0.005575;right=0.923810;matching_shingles=97;preferred=bibit:sonnet:bibit000129:sonnet_0039,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0040,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0040,sonnet_segment_quarantine,left=0.006322;right=1.000000;matching_shingles=110;preferred=bibit:sonnet:bibit000129:sonnet_0040,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0041,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0041,sonnet_segment_quarantine,left=0.005575;right=0.923810;matching_shingles=97;preferred=bibit:sonnet:bibit000129:sonnet_0041,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0042,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0042,sonnet_segment_quarantine,left=0.006092;right=1.000000;matching_shingles=106;preferred=bibit:sonnet:bibit000129:sonnet_0042,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0043,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0043,sonnet_segment_quarantine,left=0.005173;right=0.918367;matching_shingles=90;preferred=bibit:sonnet:bibit000129:sonnet_0043,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0044,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0044,sonnet_segment_quarantine,left=0.005288;right=0.920000;matching_shingles=92;preferred=bibit:sonnet:bibit000129:sonnet_0044,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0045,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0045,sonnet_segment_quarantine,left=0.005230;right=0.850467;matching_shingles=91;preferred=bibit:sonnet:bibit000129:sonnet_0045,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0046,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0046,sonnet_segment_quarantine,left=0.006035;right=1.000000;matching_shingles=105;preferred=bibit:sonnet:bibit000129:sonnet_0046,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0047,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0047,sonnet_segment_quarantine,left=0.005920;right=1.000000;matching_shingles=103;preferred=bibit:sonnet:bibit000129:sonnet_0047,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0048,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0048,sonnet_segment_quarantine,left=0.005747;right=1.000000;matching_shingles=100;preferred=bibit:sonnet:bibit000129:sonnet_0048,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0049,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0049,sonnet_segment_quarantine,left=0.006035;right=1.000000;matching_shingles=105;preferred=bibit:sonnet:bibit000129:sonnet_0049,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0050,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0050,sonnet_segment_quarantine,left=0.005058;right=0.916667;matching_shingles=88;preferred=bibit:sonnet:bibit000129:sonnet_0050,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0051,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0051,sonnet_segment_quarantine,left=0.005115;right=0.967391;matching_shingles=89;preferred=bibit:sonnet:bibit000129:sonnet_0051,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0052,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0052,sonnet_segment_quarantine,left=0.005920;right=0.927928;matching_shingles=103;preferred=bibit:sonnet:bibit000129:sonnet_0052,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0053,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0053,sonnet_segment_quarantine,left=0.005690;right=1.000000;matching_shingles=99;preferred=bibit:sonnet:bibit000129:sonnet_0053,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0054,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0054,sonnet_segment_quarantine,left=0.006035;right=1.000000;matching_shingles=105;preferred=bibit:sonnet:bibit000129:sonnet_0054,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0056,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0056,sonnet_segment_quarantine,left=0.005575;right=0.923810;matching_shingles=97;preferred=bibit:sonnet:bibit000129:sonnet_0056,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0057,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0057,sonnet_segment_quarantine,left=0.004828;right=0.840000;matching_shingles=84;preferred=bibit:sonnet:bibit000129:sonnet_0057,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0058,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0058,sonnet_segment_quarantine,left=0.005805;right=0.926606;matching_shingles=101;preferred=bibit:sonnet:bibit000129:sonnet_0058,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0059,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0059,sonnet_segment_quarantine,left=0.005805;right=0.943925;matching_shingles=101;preferred=bibit:sonnet:bibit000129:sonnet_0059,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0060,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0060,sonnet_segment_quarantine,left=0.005288;right=0.920000;matching_shingles=92;preferred=bibit:sonnet:bibit000129:sonnet_0060,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0061,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0061,sonnet_segment_quarantine,left=0.005920;right=1.000000;matching_shingles=103;preferred=bibit:sonnet:bibit000129:sonnet_0061,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0062,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0062,sonnet_segment_quarantine,left=0.005345;right=1.000000;matching_shingles=93;preferred=bibit:sonnet:bibit000129:sonnet_0062,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0063,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0063,sonnet_segment_quarantine,left=0.005690;right=0.961165;matching_shingles=99;preferred=bibit:sonnet:bibit000129:sonnet_0063,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0064,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0064,sonnet_segment_quarantine,left=0.005805;right=0.926606;matching_shingles=101;preferred=bibit:sonnet:bibit000129:sonnet_0064,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0065,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0065,sonnet_segment_quarantine,left=0.005403;right=0.854545;matching_shingles=94;preferred=bibit:sonnet:bibit000129:sonnet_0065,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0066,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0066,sonnet_segment_quarantine,left=0.005805;right=1.000000;matching_shingles=101;preferred=bibit:sonnet:bibit000129:sonnet_0066,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0067,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0067,sonnet_segment_quarantine,left=0.005805;right=0.926606;matching_shingles=101;preferred=bibit:sonnet:bibit000129:sonnet_0067,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0068,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0068,sonnet_segment_quarantine,left=0.005403;right=1.000000;matching_shingles=94;preferred=bibit:sonnet:bibit000129:sonnet_0068,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0069,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0069,sonnet_segment_quarantine,left=0.005288;right=0.920000;matching_shingles=92;preferred=bibit:sonnet:bibit000129:sonnet_0069,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0071,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0071,sonnet_segment_quarantine,left=0.005977;right=1.000000;matching_shingles=104;preferred=bibit:sonnet:bibit000129:sonnet_0071,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0072,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0072,sonnet_segment_quarantine,left=0.004885;right=0.867347;matching_shingles=85;preferred=bibit:sonnet:bibit000129:sonnet_0072,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0073,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0073,sonnet_segment_quarantine,left=0.006092;right=1.000000;matching_shingles=106;preferred=bibit:sonnet:bibit000129:sonnet_0073,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0074,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0074,sonnet_segment_quarantine,left=0.005575;right=1.000000;matching_shingles=97;preferred=bibit:sonnet:bibit000129:sonnet_0074,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0075,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0075,sonnet_segment_quarantine,left=0.004828;right=0.840000;matching_shingles=84;preferred=bibit:sonnet:bibit000129:sonnet_0075,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0076,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0076,sonnet_segment_quarantine,left=0.005690;right=1.000000;matching_shingles=99;preferred=bibit:sonnet:bibit000129:sonnet_0076,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0077,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0077,sonnet_segment_quarantine,left=0.005690;right=0.925234;matching_shingles=99;preferred=bibit:sonnet:bibit000129:sonnet_0077,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0078,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0078,sonnet_segment_quarantine,left=0.005115;right=0.917526;matching_shingles=89;preferred=bibit:sonnet:bibit000129:sonnet_0078,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0080,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0080,sonnet_segment_quarantine,left=0.004770;right=0.838384;matching_shingles=83;preferred=bibit:sonnet:bibit000129:sonnet_0080,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:sonnet_0081,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:sonnet_0081,sonnet_segment_quarantine,left=0.006092;right=1.000000;matching_shingles=106;preferred=bibit:sonnet:bibit000129:sonnet_0081,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:structural_0003,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:structural_0003,sonnet_segment_quarantine,left=0.005518;right=1.000000;matching_shingles=96;preferred=bibit:sonnet:bibit000129:structural_0003,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:structural_0004,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:structural_0004,sonnet_segment_quarantine,left=0.005115;right=1.000000;matching_shingles=89;preferred=bibit:sonnet:bibit000129:structural_0004,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:structural_0006,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:structural_0006,sonnet_segment_quarantine,left=0.003851;right=0.893333;matching_shingles=67;preferred=bibit:sonnet:bibit000129:structural_0006,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:structural_0007,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:structural_0007,sonnet_segment_quarantine,left=0.005460;right=1.000000;matching_shingles=95;preferred=bibit:sonnet:bibit000129:structural_0007,remove_exact_matched_span_in_checkpoint_7b,7B
review:ilc_ota:record:ota_0304:rime-0304:bibit:sonnet:bibit000129:structural_0010,ilc_ota:record:ota_0304:rime-0304,bibit:sonnet:bibit000129:structural_0010,sonnet_segment_quarantine,left=0.004885;right=1.000000;matching_shingles=85;preferred=bibit:sonnet:bibit000129:structural_0010,remove_exact_matched_span_in_checkpoint_7b,7B
