record_id,archive_id,title,assigned_role,metadata_decision,extracted_unit_count,eligible_unit_count,excluded_unit_count,held_unit_count,candidate_character_count,eligible_character_count,share_of_candidate_pool,share_of_resulting_pool,final_status,next_action,activation_status
ota_0872,oxford_text_archive,Gerusalemme conquistata / Torquato Tasso,historical_non_sonnet_poetry,eligible_text_probe_inactive,1,0,1,0,865531,0,0.02133282,0.00129774,closed_no_unique_eligible_text,retain duplicate/quality evidence; materialize nothing,inactive_audit_only
ota_0992,oxford_text_archive,I rotuli dei lettori legisti e artisti dello studio di Bologna dal 1384 al 1799,ottocento_bridge_capped,eligible_text_probe_inactive,1,0,1,0,405799,0,0.01000176,0.00060844,closed_no_unique_eligible_text,retain duplicate/quality evidence; materialize nothing,inactive_audit_only
ota_1041,oxford_text_archive,Orlando furioso  / compiled by Antonio Zampolli and the Istituto di linguistica computazionale del Consiglo nazionale delle ricerche,historical_non_sonnet_poetry,eligible_text_probe_inactive,1,0,1,0,2000077,0,0.04929608,0.00299883,closed_no_unique_eligible_text,retain duplicate/quality evidence; materialize nothing,inactive_audit_only
ota_1043,oxford_text_archive,La coscienza di Zeno / Italo Svevo,excluded,excluded_post_1900,0,0,0,0,0,0,0.00000000,0.00000000,excluded_post_1900,closed at metadata gate; retain evidence only,inactive_audit_only
ota_1062,oxford_text_archive,Amori and Discorsi,historical_general,eligible_text_probe_inactive,1,1,0,0,252217,252217,0.00621642,0.00037816,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_1099,oxford_text_archive,Il Teseide / compiled by Antonio Zampolli,historical_non_sonnet_poetry,eligible_text_probe_inactive,1,0,1,0,521951,0,0.01286457,0.00078259,closed_no_unique_eligible_text,retain duplicate/quality evidence; materialize nothing,inactive_audit_only
ota_1100,oxford_text_archive,Orlando innamorato / compiled by David Robey and Marco Dorigatti,historical_non_sonnet_poetry,eligible_text_probe_inactive,2,0,2,0,1364272,0,0.03362533,0.00204553,closed_no_unique_eligible_text,retain duplicate/quality evidence; materialize nothing,inactive_audit_only
ota_1120,oxford_text_archive,Decameron,historical_general,eligible_text_probe_inactive,0,0,0,0,0,0,0.00000000,0.00000000,closed_no_extractable_primary_text_format,retain the verified binary/legacy-format evidence; materialize nothing,inactive_audit_only
ota_1372,oxford_text_archive,The PIXI corpora : bookshop encounters in English and Italian / L. Gavioli [and] G. Mansfield,excluded,excluded_not_primary_text,0,0,0,0,0,0,0.00000000,0.00000000,excluded_not_primary_text,closed at metadata gate; retain evidence only,inactive_audit_only
ota_1390,oxford_text_archive,Morgante / Luigi Pulci,historical_non_sonnet_poetry,eligible_text_probe_inactive,2,0,2,0,1190409,0,0.02934012,0.00178485,closed_no_unique_eligible_text,retain duplicate/quality evidence; materialize nothing,inactive_audit_only
ota_1723,oxford_text_archive,Corpus of Italian Newspapers / [compiled by] Elisabeth Burr,excluded,excluded_not_primary_text,0,0,0,0,0,0,0.00000000,0.00000000,excluded_not_primary_text,closed at metadata gate; retain evidence only,inactive_audit_only
ota_2426,oxford_text_archive,COMIC : Commercial Italian Corpus / Sara Laviosa,excluded,excluded_not_primary_text,0,0,0,0,0,0,0.00000000,0.00000000,excluded_not_primary_text,closed at metadata gate; retain evidence only,inactive_audit_only
ota_2503,oxford_text_archive,Avant-Garde/Neo-Avant-Garde Bibliographic Research Database,excluded,excluded_not_primary_text,0,0,0,0,0,0,0.00000000,0.00000000,excluded_not_primary_text,closed at metadata gate; retain evidence only,inactive_audit_only
ota_A06105,oxford_text_archive,"La forma delle publiche orationi et della co[n]fessione, & assolutione, la qual si usa nella chiesa de forestieri, che è nuouamente stata instituita in Londra (per gratia di Dio) con l'autorità & co[n]sentimento del Re.",historical_general,eligible_text_probe_inactive,1,1,0,0,11887,11887,0.00029298,0.00001782,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_A07736,oxford_text_archive,Di Tomasso Morlei il primo libro delle ballette a cinque voci,historical_general,eligible_text_probe_inactive,1,1,0,0,13568,13568,0.00033441,0.00002034,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_A09314,oxford_text_archive,"Gli occhi, oda all illustrissima & eccellentissima signora contessa Lucia Bedforde : con altri vari componimenti heroici regij / Di Francesco Peretto gentilhomo dottore Italiano.",historical_general,eligible_text_probe_inactive,1,1,0,0,50016,50016,0.00123275,0.00007499,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_A09485,oxford_text_archive,"Auiso piaceuole dato alla bella Italia, da vn nobile giovane Francese, sopra la mentita data dal serenissimo re di Nauarra a Papa Sisto V",historical_general,eligible_text_probe_inactive,1,1,0,0,56800,56800,0.00139995,0.00008516,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_A13338,oxford_text_archive,La vita di Giulio Agricola scritta sincerissimamente. Da Cornelio Tacito suo genero. Et messa in volgare da Giouan. Maria Manelli,historical_general,eligible_text_probe_inactive,1,1,0,0,74668,74668,0.00184035,0.00011195,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_A14162,oxford_text_archive,"Parte prima delle brevi dimostrationi, et precetti vtilissimi ne i quali si trattano diuersi propositi morali, politici, & iconomici & che conuengono ancora ad ogni nobil Matrona. Cauati da una diligente osseruation di cose diuersʹe; et scritti al comun beneficio deli huomini ciuili. Da Petruccio Vbaldino cittadin Fiorentino.",historical_general,eligible_text_probe_inactive,1,1,0,0,109136,109136,0.00268988,0.00016363,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_A14163,oxford_text_archive,"Descrittione del regno di Scotia, et delle isole sue adiacenti di Petruccio Vbaldini cittadin Fiorentino. Nella quale si descriuono i confini di ciascuna prouincia, & i luoghi che visono, & le cose piu degne di memoria, che visi trouano tanto naturali, quanto marauigliose",historical_general,eligible_text_probe_inactive,1,1,0,0,143442,143442,0.00353543,0.00021507,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_A14165,oxford_text_archive,"Militia del gran duca di Thoscana Capitoli, ordini, & priuilegij della militia, & bande di Sua Altezza Serenissima prima cosi ordinati dalla buona, & felice memoria di cosimo primo Gran Duca di Thoscana; et di poi corroborati da i successor i suoi figliuoli. Con l'aggiunta de i nuoui capitoli, & priuilegi concessi dallo illustrissimo & eccellentissimo Signor Don Francesco principe di Fiorenza, & di Siena pursuo figliuolo alla nuoua Militia de i Caualli armati all leggiera sino dall'anno 1566.",historical_general,eligible_text_probe_inactive,1,1,0,0,75508,75508,0.00186105,0.00011321,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_A14166,oxford_text_archive,"Rime di Petruccio Vbaldino, cittadin Fiorentino",historical_non_sonnet_poetry,eligible_text_probe_inactive,1,1,0,0,23138,23138,0.00057028,0.00003469,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_A14167,oxford_text_archive,"Scelta di alcune attioni, et di varii accidenti occorsi tra alcune nationi differenti del mondo; cauati della selua dei case diuersi. Di Petruccio Vbaldino Fiorentino  ...",historical_general,eligible_text_probe_inactive,1,1,0,0,125281,125281,0.00308781,0.00018784,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_A14168,oxford_text_archive,"Lo stato delle tre corti Altrimenti: relationi di alcune qualita politiche con le loro dipendenze considerabili appresso di quei, che dei gouerni delli stati si dilettano; ritrouate nello stato della Corte Romana, nel regno di Napoli, & nelli stati del gran Duca di Thoscana, cagioni secondo la natura di quelle genti sicurissime della sermezza di quei gouerni. Di Petruccio Vbaldino, cittadin Fiorentino.",historical_general,eligible_text_probe_inactive,1,1,0,0,54593,54593,0.00134556,0.00008185,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_A14169,oxford_text_archive,"La vita di Carlo Magno Imperadore, scritta in lingua italiana da Petruccio Vbaldino cittadin fiorentino",historical_general,eligible_text_probe_inactive,1,1,0,0,206172,206172,0.00508154,0.00030913,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_A18325,oxford_text_archive,"Atto della Giustitia d'Inghilterra, effeguito, per la coseruatione della commune [e] christiana pace contra alcuni feminatori di discordie, [e] seguaci de ribelli, [e] denemici del reame, [e] non per niuna perfecutione ... Traslatato d'inglese in vulgare ... Il 25.d Maggio 1584. [e] 26.del felicissimo regno d'Eliza ... tta, per gratia at Dio ... .",historical_general,eligible_text_probe_inactive,1,1,0,0,83858,83858,0.00206686,0.00012573,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_A22695,oxford_text_archive,"Dichiaratione delle cause che hanno indotta la Serenissima Maestá, della Reina d'Ingilterra, di preparare & mandare sopra il mare vna armata per la difesa de i suoi regni contra le forze d'el Re di Spagna da esser publicata per i generali della detta armata, accioche sia conosciuto che sua Maestá, ha armato solamente per difenderse e offender li nemici, senza peró voler offender altri chi astenerannosi di adiuutari i suoi nemici, ma trattarli con tutte licite fauore amoreuolmente.",historical_general,eligible_text_probe_inactive,1,1,0,0,5178,5178,0.00012762,0.00000776,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_A72536,oxford_text_archive,"Essempio d'una lettera mandata d'Inghilterra a Don Bernardino Mendozza ambasciatore in Francia per lo re di Spagna nella quale si dichiara, lo stato del reame d'Inghilterra, contrario all'espettatione di Don Bernardino, di tutti gli spagnuoli fuoi conforti, & d'altri anchora / traslatata di francese in italiano ad instanza di chi desidera, che gl'Italici huomini conoscano quanti i romori, della vittoria dell'Armata spagnuola, sparti dal Mendozza, sieno bugiardi & falsi.",historical_general,eligible_text_probe_inactive,1,1,0,0,91769,91769,0.00226184,0.00013759,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_A91763,oxford_text_archive,"Theriaca Andromachi senioris diuinum inuentum The abouesaid antidote is composed in Venice vvith all diligence and careby Anthony Raffaeli apothecary at the signe of the Paradice at Riu'alta vpon the vvine banck in the presence and beforethe most illustrious magistrates of the old iustice, and the most excellent colledge of doctors and of the apothecaryes, and other deputys for the same, the faculties, and rare virtues of vvhich are as follo vveth for the good of all people.",historical_general,eligible_text_probe_inactive,1,0,1,0,6146,0,0.00015148,0.00000922,closed_no_unique_eligible_text,retain duplicate/quality evidence; materialize nothing,inactive_audit_only
ota_B08182,oxford_text_archive,"Le vite delle donne illustri. del regno d'Inghilterra, & del regno di Scotia, & di quelle, che d'altri paesi ne i due detti regni sono stato maritate. Doue si contengono tutte le cose degne di memoria da esse, ò da altri per i rispetti loro state operate, tanto di fuori, quanto di dentro de i due regni. / Scritte in lingua italiana da Petruccio Vbaldino cittadin Fiorentino..",historical_general,eligible_text_probe_inactive,1,1,0,0,200595,200595,0.00494408,0.00030076,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
